Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
A Guidebook of Babel,9,FALSE,FALSE,FALSE,FALSE,FALSE
A Hat in Time,9.5,FALSE,TRUE,TRUE,TRUE,TRUE
A Way Out,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
AC: Black Flag,23.5,TRUE,TRUE,FALSE,TRUE,FALSE
AC: Syndicate,18.5,TRUE,TRUE,FALSE,FALSE,FALSE
AC: Unity,17,FALSE,FALSE,FALSE,FALSE,FALSE
Ace Attorney Investigations: Collection,86,TRUE,TRUE,FALSE,FALSE,FALSE
Age of Empires,41.14,FALSE,FALSE,FALSE,FALSE,TRUE
AI: The Somnium Files,23,TRUE,FALSE,FALSE,FALSE,FALSE
AM2R,7,TRUE,TRUE,TRUE,TRUE,FALSE
Amanda the Adventurer,2.5,FALSE,FALSE,FALSE,FALSE,FALSE
American Truck Sim,22.05,FALSE,FALSE,FALSE,FALSE,TRUE
Among Us,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
Ann,3,FALSE,FALSE,FALSE,FALSE,FALSE
Aperture Desk Job,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
Apollo Justice: Ace Attorney Trilogy,56.5,TRUE,TRUE,FALSE,FALSE,FALSE
ARK,200,FALSE,FALSE,FALSE,FALSE,TRUE
ARK: Survival of the Fittest,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Astro Bot,11,TRUE,FALSE,FALSE,FALSE,FALSE
Astroneer,22.5,FALSE,TRUE,FALSE,FALSE,TRUE
Axis & Allies,17,FALSE,FALSE,FALSE,FALSE,FALSE
Baldur's Gate,30.5,FALSE,TRUE,FALSE,FALSE,TRUE
Baldur's Gate 2,44.5,FALSE,FALSE,FALSE,FALSE,TRUE
Baldur's Gate 3,68.5,TRUE,FALSE,FALSE,FALSE,TRUE
Batman: Arkham Asylum,11,TRUE,TRUE,FALSE,FALSE,FALSE
Batman: Arkham City,13.5,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Arkham Knight,17,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Arkham Origins,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Bloodstained: Curse of the Moon,2,FALSE,FALSE,FALSE,FALSE,FALSE
Bloodstained: Ritual of the Night,14,FALSE,FALSE,FALSE,FALSE,FALSE
Bloons TD6,35.5,FALSE,TRUE,FALSE,FALSE,TRUE
Braid: Anniversary Edition,4.5,FALSE,FALSE,FALSE,FALSE,FALSE
Bravery & Greed,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
Call of Juarez,5,FALSE,FALSE,FALSE,FALSE,FALSE
Capcom Beat'em Up Bundle,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Capcom Fighting Collection,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Castle Crashers,7,FALSE,TRUE,FALSE,FALSE,TRUE
Castlevania: Dominus Collection,35,FALSE,FALSE,FALSE,FALSE,FALSE
Castlevania: Symphony of the Night,8.5,FALSE,FALSE,FALSE,FALSE,FALSE
Celeste,8.5,FALSE,TRUE,FALSE,TRUE,FALSE
Chrono Trigger,23,TRUE,TRUE,FALSE,TRUE,FALSE
Civ 4,13.5,FALSE,FALSE,FALSE,FALSE,FALSE
Civ 5,39.5,FALSE,FALSE,FALSE,FALSE,FALSE
Civ 6,23.5,FALSE,FALSE,FALSE,FALSE,FALSE
Cookie Clicker,379,FALSE,TRUE,FALSE,FALSE,FALSE
Counter Strike 2,714,FALSE,FALSE,FALSE,TRUE,TRUE
Counter Strike Source,89,FALSE,FALSE,FALSE,TRUE,TRUE
Cuphead,10.5,FALSE,TRUE,FALSE,FALSE,TRUE
