Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
Fire Watch,4,TRUE,TRUE,FALSE,TRUE,FALSE
Yooka Laylee and the Impossible Lair,13,FALSE,TRUE,FALSE,TRUE,FALSE
DOOM ETERNAL ,14.5,TRUE,TRUE,FALSE,TRUE,TRUE
Just Cause 3,18.5,TRUE,TRUE,FALSE,TRUE,FALSE
NIER Automata,21,TRUE,TRUE,FALSE,TRUE,FALSE
TLOZ: Majora's Mask,21,TRUE,TRUE,FALSE,TRUE,FALSE
Chrono Trigger,23,TRUE,TRUE,FALSE,TRUE,FALSE
AC: Black Flag,23.5,TRUE,TRUE,FALSE,TRUE,FALSE
Final Fantasy 15,27,TRUE,TRUE,FALSE,TRUE,TRUE
TLOZ: Ocarina of Time,27,TRUE,TRUE,FALSE,TRUE,FALSE
TES: Oblivion,31,TRUE,TRUE,FALSE,TRUE,FALSE
Factorio,49,TRUE,TRUE,FALSE,TRUE,TRUE
Stardew Valley,53.5,TRUE,TRUE,FALSE,TRUE,TRUE
Dragon Quest 11,57.5,TRUE,TRUE,FALSE,TRUE,FALSE
Halo: MCC,58.5,TRUE,TRUE,FALSE,TRUE,TRUE
Divinity Original Sin 2,59,TRUE,TRUE,FALSE,TRUE,TRUE
Octopath Traveler ,60.5,TRUE,TRUE,FALSE,TRUE,FALSE
Baldur's Gate 3,68.5,TRUE,TRUE,FALSE,TRUE,TRUE
Slay the Princess,3.5,TRUE,FALSE,FALSE,TRUE,FALSE
Persona 5: Royal,101,TRUE,FALSE,FALSE,TRUE,FALSE
AM2R,7,TRUE,TRUE,TRUE,TRUE,FALSE
DOOM (2016),11.5,TRUE,TRUE,TRUE,TRUE,TRUE
The Great Ace Attorney Chronicles,67,TRUE,TRUE,TRUE,TRUE,FALSE
Portal,3,TRUE,TRUE,FALSE,FALSE,FALSE
Metal Gear Rising REVENGEANCE,7,TRUE,TRUE,FALSE,FALSE,FALSE
Portal 2,8.5,TRUE,TRUE,FALSE,FALSE,TRUE
Sonic Adventure,9,TRUE,TRUE,FALSE,FALSE,FALSE
Sonic Adventure 2,9,TRUE,TRUE,FALSE,FALSE,TRUE
Batman: Arkham Asylum,11,TRUE,TRUE,FALSE,FALSE,FALSE
AC: Syndicate,18.5,TRUE,TRUE,FALSE,FALSE,FALSE
Horizon Zero Dawn,29.5,TRUE,TRUE,FALSE,FALSE,FALSE
Valkyria Chronicles,30.5,TRUE,TRUE,FALSE,FALSE,FALSE
Dark Souls 3,31.5,TRUE,TRUE,FALSE,FALSE,TRUE
Apollo Justice: Ace Attorney Trilogy,56.5,TRUE,TRUE,FALSE,FALSE,FALSE
Ace Attorney Investigations: Collection,86,TRUE,TRUE,FALSE,FALSE,FALSE
Aperture Desk Job,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
Later Alligator,2.5,TRUE,FALSE,FALSE,FALSE,FALSE
The Murder of STH,2.5,TRUE,FALSE,FALSE,FALSE,FALSE
Ducktales,3.5,TRUE,FALSE,FALSE,FALSE,FALSE
Impostor Factory,4,TRUE,FALSE,FALSE,FALSE,FALSE
To the moon,4,TRUE,FALSE,FALSE,FALSE,FALSE
Finding Paradise,5,TRUE,FALSE,FALSE,FALSE,FALSE
Tokyo Dark,5,TRUE,FALSE,FALSE,FALSE,FALSE
OPUS: Echo of Starsong,10,TRUE,FALSE,FALSE,FALSE,FALSE
Astro Bot,11,TRUE,FALSE,FALSE,FALSE,FALSE
Hi-Fi Rush,11,TRUE,FALSE,FALSE,FALSE,FALSE
Dishonored,12,TRUE,FALSE,FALSE,FALSE,FALSE
Ghost Trick,12,TRUE,FALSE,FALSE,FALSE,FALSE
Half Life,12,TRUE,FALSE,FALSE,FALSE,TRUE
The Forest,16,TRUE,FALSE,FALSE,FALSE,TRUE
Spider-Man 2,17,TRUE,FALSE,FALSE,FALSE,FALSE
AI: The Somnium Files,23,TRUE,FALSE,FALSE,FALSE,FALSE
Danganronpa,25,TRUE,FALSE,FALSE,FALSE,FALSE
Final Fantasy 7 Remake,32.5,TRUE,FALSE,FALSE,FALSE,FALSE
Danganronpa 2,33.5,TRUE,FALSE,FALSE,FALSE,FALSE
Final Fantasy 7,36,TRUE,FALSE,FALSE,FALSE,FALSE
Danganronpa 3,39.5,TRUE,FALSE,FALSE,FALSE,FALSE
Red Dead Redemption 2,50.5,TRUE,FALSE,FALSE,FALSE,TRUE
Octopath Traveler 2,60,TRUE,FALSE,FALSE,FALSE,FALSE
Persona 4: Golden,67.5,TRUE,FALSE,FALSE,FALSE,FALSE
Phoenix Wright: Ace Attorney Triliogy,66.5,TRUE,TRUE,TRUE,FALSE,FALSE
Ultimate Chicken Horse,4,FALSE,TRUE,FALSE,TRUE,TRUE
Sonic Colors Ultimate,5,FALSE,TRUE,FALSE,TRUE,TRUE
Getting over it,6,FALSE,TRUE,FALSE,TRUE,FALSE
SUPERHOT MIND CONTROL DELETE,7,FALSE,TRUE,FALSE,TRUE,FALSE
Sonic & All Stars Racing Transformed,7.5,FALSE,TRUE,FALSE,TRUE,TRUE
Star Wars Battlefront 2 (2005),8,FALSE,TRUE,FALSE,TRUE,TRUE
Celeste,8.5,FALSE,TRUE,FALSE,TRUE,FALSE
Star Wars Battlefront (2004),9,FALSE,TRUE,FALSE,TRUE,TRUE
The Stanley Parable,9,FALSE,TRUE,FALSE,TRUE,FALSE
Forza Horizon 4,14.5,FALSE,TRUE,FALSE,TRUE,TRUE
Overcooked: All you can eat,24,FALSE,TRUE,FALSE,TRUE,TRUE
Fallout: New Vegas,27,FALSE,TRUE,FALSE,TRUE,FALSE
Bloons TD6,35.5,FALSE,TRUE,FALSE,TRUE,TRUE
Terraria,52,FALSE,TRUE,FALSE,TRUE,TRUE
Elden Ring,59.5,FALSE,TRUE,FALSE,TRUE,TRUE
Among Us,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
garry's mod,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
Granny Sim,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
Bloodstained: Curse of the Moon,2,FALSE,FALSE,FALSE,TRUE,FALSE
Quiplash,2.5,FALSE,FALSE,FALSE,TRUE,TRUE
Little Nightmares,3.5,FALSE,FALSE,FALSE,TRUE,FALSE
Yume Nikki,5,FALSE,FALSE,FALSE,TRUE,FALSE
Castlevania: Symphony of the Night,8.5,FALSE,FALSE,FALSE,TRUE,FALSE
Resident Evil 2,9,FALSE,FALSE,FALSE,TRUE,FALSE
Resident Evil 7,9.5,FALSE,FALSE,FALSE,TRUE,FALSE
Risk of Rain 2,11,FALSE,FALSE,FALSE,TRUE,TRUE
Civ 4,13.5,FALSE,FALSE,FALSE,TRUE,TRUE
Bloodstained: Ritual of the Night,14,FALSE,FALSE,FALSE,TRUE,FALSE
Fallout 3,22,FALSE,FALSE,FALSE,TRUE,FALSE
Civ 6,23.5,FALSE,FALSE,FALSE,TRUE,TRUE
Ghost Recon: Wildlands,27,FALSE,FALSE,FALSE,TRUE,TRUE
Grand Theft Auto 4,27,FALSE,FALSE,FALSE,TRUE,TRUE
Fallout 4,27.5,FALSE,FALSE,FALSE,TRUE,FALSE
Grand Theft Auto 5,32,FALSE,FALSE,FALSE,TRUE,TRUE
Castlevania: Dominus Collection,35,FALSE,FALSE,FALSE,TRUE,FALSE
Civ 5,39.5,FALSE,FALSE,FALSE,TRUE,TRUE
Baldur's Gate 2,44.5,FALSE,FALSE,FALSE,TRUE,TRUE
The Witcher 3,51.5,FALSE,FALSE,FALSE,TRUE,FALSE
Roller Coaster Tycoon Deluxe,68.5,FALSE,FALSE,FALSE,TRUE,FALSE
Counter Strike Source,89,FALSE,FALSE,FALSE,TRUE,TRUE
Counter Strike 2,714,FALSE,FALSE,FALSE,TRUE,TRUE
Tabletop Sim,N/A,FALSE,FALSE,FALSE,TRUE,TRUE
Sonic 1,2,FALSE,TRUE,TRUE,TRUE,FALSE
Sonic CD,2,FALSE,TRUE,TRUE,TRUE,FALSE
The Henry Stickman Collection,2,FALSE,TRUE,TRUE,TRUE,FALSE
Sonic 2,2.5,FALSE,TRUE,TRUE,TRUE,TRUE
SUPERHOT,2.5,FALSE,TRUE,TRUE,TRUE,FALSE
Sonic 3,4,FALSE,TRUE,TRUE,TRUE,TRUE
Shadow Generations,5,FALSE,TRUE,TRUE,TRUE,FALSE
Sonic Generations,5.5,FALSE,TRUE,TRUE,TRUE,FALSE
Sonic Mania,5.5,FALSE,TRUE,TRUE,TRUE,TRUE
Undertale,7,FALSE,TRUE,TRUE,TRUE,FALSE
Super Metroid,7.5,FALSE,TRUE,TRUE,TRUE,FALSE
Plants vs Zombies,8,FALSE,TRUE,TRUE,TRUE,FALSE
A Hat in Time,9.5,FALSE,TRUE,TRUE,TRUE,TRUE
Super Mario 64 Plus,12,FALSE,TRUE,TRUE,TRUE,FALSE
Tyrion Cuthbert: Attorney of the Arcane,15.5,FALSE,TRUE,TRUE,TRUE,FALSE
Spider-Man,18,FALSE,TRUE,TRUE,TRUE,FALSE
Dying Light,20,FALSE,TRUE,TRUE,TRUE,TRUE
TES: Skyrim,26,FALSE,TRUE,TRUE,TRUE,FALSE
Hollow Knight,27,FALSE,TRUE,TRUE,TRUE,FALSE
Please don't touch anything,1,FALSE,TRUE,FALSE,FALSE,FALSE
Oxenfree,4.5,FALSE,TRUE,FALSE,FALSE,FALSE
Star Wars Battlefront 2,6,FALSE,TRUE,FALSE,FALSE,TRUE
Castle Crashers,7,FALSE,TRUE,FALSE,FALSE,TRUE
Sonic Lost World,7.5,FALSE,TRUE,FALSE,FALSE,FALSE
Hitman 2,10,FALSE,TRUE,FALSE,FALSE,FALSE
Cuphead,10.5,FALSE,TRUE,FALSE,FALSE,TRUE
Steam World Heist,12.5,FALSE,TRUE,FALSE,FALSE,FALSE
MTG: Duels of the Planeswalkers,13.5,FALSE,TRUE,FALSE,FALSE,TRUE
Red Faction Guerilla,13.5,FALSE,TRUE,FALSE,FALSE,TRUE
TLOZ: Link's Awakening DX HD,14,FALSE,TRUE,FALSE,FALSE,FALSE
Prey,16,FALSE,TRUE,FALSE,FALSE,TRUE
Star Wars Battlefront,16.5,FALSE,TRUE,FALSE,FALSE,TRUE
The Escapists 2,17,FALSE,TRUE,FALSE,FALSE,TRUE
Watch_dogs,19.5,FALSE,TRUE,FALSE,FALSE,TRUE
DOOM + DOOM 2,21,FALSE,TRUE,FALSE,FALSE,TRUE
Astroneer,22.5,FALSE,TRUE,FALSE,FALSE,TRUE
Dark Souls,29.5,FALSE,TRUE,FALSE,FALSE,TRUE
Plants vs Zombies: Garden Warfare 2,30,FALSE,TRUE,FALSE,FALSE,TRUE
Subnautica,30,FALSE,TRUE,FALSE,FALSE,FALSE
Baldur's Gate,30.5,FALSE,TRUE,FALSE,FALSE,TRUE
Stellaris,32,FALSE,TRUE,FALSE,FALSE,TRUE
Okami HD,33.5,FALSE,TRUE,FALSE,FALSE,FALSE
Phasmophobia,36,FALSE,TRUE,FALSE,FALSE,TRUE
Sea of Thieves,70.5,FALSE,TRUE,FALSE,FALSE,TRUE
Cookie Clicker,379,FALSE,TRUE,FALSE,FALSE,FALSE
Moonbase Alpha,1,FALSE,FALSE,FALSE,FALSE,TRUE
The Charnel House Trilogy,2,FALSE,FALSE,FALSE,FALSE,FALSE
Amanda the Adventurer,2.5,FALSE,FALSE,FALSE,FALSE,FALSE
Mediteranea Inferno,2.5,FALSE,FALSE,FALSE,FALSE,FALSE
Ann,3,FALSE,FALSE,FALSE,FALSE,FALSE
Richard & Alice,3,FALSE,FALSE,FALSE,FALSE,FALSE
Loddlenaut,3.5,FALSE,FALSE,FALSE,FALSE,FALSE
Braid: Anniversary Edition,4.5,FALSE,FALSE,FALSE,FALSE,FALSE
Call of Juarez,5,FALSE,FALSE,FALSE,FALSE,FALSE
Gang Beasts,5,FALSE,FALSE,FALSE,FALSE,TRUE
Pseudoregalia,5,FALSE,FALSE,FALSE,FALSE,FALSE
Sonic & Sega All Stars Racing,5,FALSE,FALSE,FALSE,FALSE,TRUE
Quake,5.5,FALSE,FALSE,FALSE,FALSE,TRUE
A Way Out,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
Bravery & Greed,6.5,FALSE,FALSE,FALSE,FALSE,TRUE
Stray Gods,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
The Invincible,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
